,users,ratings,shorts,times
63,圆首的秘书,5,克制，用心，男人，悲伤。柯里昂对人心的洞察永远不过时，但他对待世界的方式早已为世界所不容了。1946年的美国百废待兴，无政府状态初现，利益纠葛盘根错节，教父不像是黑帮片，更像是提出了一个社会学命题。科波拉创造的这个世界，太真实了。,2016-12-12
64,吃货月,5,很是经典的黑帮电影，人物刻画也很生动形象，反映了黑暗中的一面,2017-02-24
65,汪金卫,5,原谅我这么晚才看这部伟大的电影，因为我一直想找一个时间细细品味这部黑帮史诗。传说中的IMDB最佳电影。马龙·白兰度年轻时虽是个浪荡公子，但他演技的确非凡。没能参演教父2，真是遗憾。我会把其余两部都看完//20150322资料馆4K大银幕。3小时丝毫不觉拖沓。太爽了。彻底领略了电影的伟大。,2011-02-11
66,赫舍里清如,3,一直被推荐，可到自己真的看时并没有他们说的那么好，可能是我愚钝领悟不到他的高深,2017-02-21
67,啦啦啦,5,超级喜欢马龙白兰度的表演,2016-11-01
68,花褪残红青杏小,5,经典不用多说,2017-02-24
69,菲利普,3,很好嘛？！我觉得一般般，意思不大。,2012-01-19
70,风间隼,5,好像没啥可挑剔的。本科就读的原著，今天才第一次看完。话说意大利黑帮处理矛盾的方式还真是过家家啊。,2015-07-05
71,小张你好,5,深切体会到家人的重要性 马龙白兰度真的太有魅力了,2017-01-14
72,孤岛影者,5,"“看到第十遍的时候，我才发现这可能是历史上最伟大的电影。——斯坦利·库布里克” 只观三遍，未闻其深。
橙子与鱼的死兆，自由女神像的残酷，两人之隔的相望，影史三教父的奠定，科波拉的反面美国梦。
基础摄影手法中潜藏的主观镜头、上帝视角，调度与打光的完美组合，结尾堪称史诗的平行蒙太奇，最终是房门相隔、心灵相驰的震撼。
电影对小说的锻造恰到好处，但同时也需小说的细节来打磨，这也算是其作为伟大电影的唯一缺点所在。",2018-05-21
73,你说这事我突然,5,马龙白兰度演得好的关键在于有气无力,2017-01-11
74,沉歌,3,觉得很一般，没什么经典的，不过马龙白兰度真的又老又帅又气度！,2011-05-27
75,苏幼,4,好看但是没太理解,2017-04-06
76,蓉,5,如果有这么一部电影，在影评人和影迷评选的各种经典佳片中都有一席之地，并且名列前茅，那非《教父》莫属。,2017-03-21
77,晚不安,5,重温“男人的《圣经》”，教科书级的光影、调度和蒙太奇。小时候看得到悲情，但看不懂权谋，更难体会教父辨人处事的智慧。两场婚礼，一场洗礼，在宏大的黑帮史诗架构之下，我目睹了信念的崩塌与男人的选择。管理一个家族乃至帝国，所要承受的东西超乎常人的想象。在马龙·白兰度的伟大表演面前，阿尔·帕西诺的光芒被遮盖了。,2018-08-23
78,火娃,5,9/10。重温。流畅优雅的影调、厚重伤感的氛围，视听语言如芭蕾般轻盈。教父书房中阴影的背面通透光亮，情绪神圣而阴郁，外面光鲜的婚礼上宾客唱歌助兴、手下反复地背诵说辞、礼金装满袋子、桑尼带人扔砸探员的相机，暗示家族的幸福处在教父的庇荫下，教父待客遵从朋友的义务。养子汤姆到好莱坞商谈演员一事，饮宴中默不作声的汤姆对比财大气粗的主人，突出黑帮料理事务的冷静狠毒。暗杀戏平静、紧张又突然，处死叛徒时芦苇丛的汽车和景深的自由女神，教父买桔子时两名刺客的张望和快速移动的腿，麦克护父时医院走廊传来的神秘脚步，麦克餐馆拔枪时列车刹住的巨响；桑尼得知妹妹被家暴，驾车冲出别墅在加油站被打成蜂窝，电话里哀嚎和婴啼的声音转化、尸体被连打数枪和踢重头部的残暴镜头，刻画出家族的悲剧宿命，结尾书房的门再度关上，又一个轮回。,2020-02-21
79,林西拿,5,可能是第五遍，有點被嚇到。講的是「失落的秩序如何重建」，又暗藏感嘆，即使重建了時代也已不同。科波拉會不會是這個星球上最會拍電影的人？兩個鏡頭，一，麥寇在西西里，第一次跟那當地女孩約會，鏡頭對背影，他們留有距離地散步，女孩沒站穩，麥寇伸手去扶，然後繼續往前走，我們看到後面一群人跟上來。二、午後，教父和孫子玩，教父死掉，風吹起遮陽布，小孩跑掉。這兩個鏡頭，難道不是十五年後侯孝賢的招牌？我只能說他真的內功太深，先不論劇作，長短鏡頭都可信手拈來，實在是大師,2018-09-04
80,Jeannels,5,9.5/10 深信这是一部无论何时重看都会翻新出不同感受的影史杰作。,2015-11-07
81,徐若风,5,没《美国往事》好，但拍出了时代魅影。/9.0/,2014-06-29
82,游牧人·芳汀,4,每一个画面都是一副流动、压抑而充满艺术美感的古典油画，把犯罪家族拍的如此深情迷人，令人久久沉醉其中。不愧是伟大的电影。,2010-12-08
83,可缓缓归矣,5,太经典了，喜欢,2017-02-24
84,艾晨,5,42年前的帕西诺。新教父的诞生。,2014-06-02
85,kidpt,5,太好看了激动死我了! 科波拉神! 神开头神结尾婚礼神铺垫! 阿尔帕西诺黑化后更帅了 他老婆是DK女神! 但是一切在马龙白兰度逆天的神演技面前! 神情语态 含混不清的声音和无法忽视的威严感 I'm gonna make him an offer he can't refuse. 配上那个光 太不科学了! 主题曲美 另随手一搜发现各式幕后八卦!,2012-09-08
86,马赛克,5,A generational saga that brought new depth to an old genre. Brando's fascinating performance made alive the vulnerable villain-hero; all characters are portrayed with great complexity and distinction. Superb cinematography from Gordon Willis. Coppola proved himself a virtuoso.,2012-01-29
87,二十二岛主,5,无可言说的经典。,2011-01-15
88,影毒肥佬,5,"賣的就是從容, 這是我在三小時洗禮後出來的第一個感覺, 看上去好象節奏不快,  卻沒感覺慢,  劇力節奏是一浪接一浪, 并沒感到過了三小時,  只到了地鐵站,  見到大鐘, 才發現11時多(開場8:15),  早忘了簡介說的片長.同類黑幫片經常給人一種匆忙感,擔心觀衆會睡似的,接近的有槍火,也這般不急不緩,從容……",2014-01-08
