,users,ratings,shorts,times
42,陈哈,5,一个猛人把背叛过他得罪过他的人都集中在飞机上；一个餐厅服务员碰到曾经的“杀”父仇人来用餐，同事说该用老鼠药了；一个光鲜中产在人迹罕至的路上遇到不让道挑衅他的野蛮人；一个熟谙爆炸的工程师车被拖走几次讨个说法而不得；一个富二代撞死孕妇老爸和律师找园丁来顶包；一个新娘在婚礼上发现小婊砸,2015-03-02
43,把噗,2,荒蛮故事 vs. 一千零一夜 = 超新约全书 vs. 布达佩斯大饭店,2016-04-11
44,不动声色地,3,撕逼是最棒的前戏+10086,2016-01-17
45,远子,3,几个月前聚餐的时候听一个朋友讲了这部电影，她把里面的六个故事都讲了一遍，说太好看太刺激，从未有过的观影体验。在座的人却纷纷表示，这都什么乱七八糟的……看完后觉得没她讲的精彩。,2015-11-24
46,汪金卫,5,【中国电影资料馆展映】黑色喜剧短片集。每集的主角都在压力下释放了自我，实施了一闪而过的犯罪念头。发泄了被压抑的情绪，让看客拍手称快。即是荒诞的闹剧，也是对社会种种现象的尖锐抨击。每个短片都很喜欢，大银幕观影尤其爽快，好看！,2017-05-13
47,陆支羽,4,4.5。1.看似疯狂的蛮荒，实乃赤裸的真相，不过更多是现实世界的内心版本罢了；性本恶旦被激活，没有谁会忍气吞声。2.片头动物世界最贴近[天注定]，但整体更叙事，不如贾诗意。3.个人最爱老鼠药和黑色婚礼这两则，气息很合口味。4.本片为阿莫多瓦年度十佳之一，哈哈。,2015-03-08
48,伍德与夏洛蒂,4,实在是太可爱，6个腹（逗）黑（比）故事都是蛇精病实体，最喜欢司机互殴和新娘闹场那俩，剪辑冰冷又时尚，复仇反转剧配上炸裂的镜头语言让人哭笑不得，每次看阿根廷电影都觉得西班牙语都变得更好听了，真是好看极了。#上海电影节#,2015-06-29
49,品客,5,婚礼上的仇恨看似最不可调和观影情绪肾上腺素直蹦顶点，却被原始的欲望和本能化解了，这是最大的讽刺。,2015-04-12
50,方枪枪,4,可能是另一个版本的《天注定》，但更黑色幽默，有人说，比《天注定》好，对此不能苟同。毕竟是两个不同情景下的导演心态，这部电影，导演更加戏谑和逗趣，但却没有《天注定》中批判的直接和力道。,2015-03-15
51,杨迪,5,撕！撕！撕！大撕逼！,2015-05-04
52,心生,5,充满趣味与恶念！把人性中最丑陋最邪恶的地方统统放大，进而制造出这些极具戏剧效果的段落！当然，最后还是留了点希望的。,2015-06-04
