,users,ratings,shorts,times
49,shield,3,套路都搞清了，先好一段然后撕逼最后和好结束。,2017-02-11
50,186****5060,1,听说还有第四部，为什么不能打零分,2014-07-14
51,啾咪咪咪咪莫,4,"其实呢，不知道是因为小鲜肉Neil还是怎样，感觉片子的笑点什么的都很戳我啊，画面也很精致，自从看过电视剧版的小时代之后，觉得拜金的郭敬明才能拍好小时代，默默期待4,",2014-07-31
52,艾小柯,1,如果说前两部还有因自成风格而存在的一定意义与价值的话，这一部则是彻底的圈钱大狂欢，完全堕落至糊弄自娱，只剩下一条不成故事的情节线，幼稚荒淫，惨不忍睹。,2014-09-20
53,不良生,2,打一星的人一定没有看过更烂的电影。作为一部烂片收割机活人版，我觉得影片尽力了。这样的题材拍不出高雅，但至少拍得色香味俱全，撕逼戏好看。,2014-07-23
54,启明星的指引,2,不明白为什么这么多打一星的，我觉得值2星，我还要看第四部，看看第四部能否给我打一星的勇气。,2018-05-26
55,鲸鱼君,1,《小时代3刺金时代》：一部不如一部。姐妹反目再和好，如此反复，令人厌倦。演员们玩得很欢乐，却不顾及毫无逻辑的情节和多余的角色，就算彩蛋再精彩也于事无补。镜头不乏炫技，煽情也没懈怠，可惜这一切都是导演在瞎扯。提名：最烂影片/最烂导演(郭敬明)/最烂演员(全体演员)/最烂剧本/最烂音效。★,2014-07-17
56,Ivan,1,好多帅哥，四娘不要潜规则他们啊，而且gay的桥段能够在国内公映，还是由衷赞叹一个。我后面就坐了一对，养眼，，，剧情就是炫富和撕逼，烂就烂呗。。,2014-07-18
57,Vincent,1,这个系列最主要的问题还是在故事本事太没有内容 所谓的冲突也都是小打小闹儿戏一般 而且zuo得是如此低端太惹人笑了 滚卡斯list时候全场都没人走 最后一男的开始唱歌全场哇了起来 然后我心里就开始唱creep了 #原来我也有青春滴忧桑的#,2014-07-18
58,老黄鱼,3,跟失散多年的闺蜜去看意义重大，所以给三星,2017-02-09
59,匡匡,1,完全看傻眼了。完全无言以对。一部深具时代意义的片子。现象级。永垂史册。,2014-09-05
60,上上,1,真的没有剧情，仿佛一切都没有发生过，一切又回到了原点。,2014-07-18
61,小夫順治,5,我是奔着郭采洁的傲娇去的，赶紧上映我要一个人默默订深夜场,2014-07-03
62,Panda的阴影,1,Fuck，XiaoSi，ni jiu bu neng fang guo zhong guo dian ying ma !!!,2014-07-13
63,柏林苍穹下,1,官二与二逼最好的时代。,2014-07-19
64,kgkick,1,TM 无尽的奢华，无尽的中二，无尽的没逻辑，无尽的让人看不懂。这东西还出成系列了，我***。,2014-07-16
65,莉莉周,2,好累，感觉再也不会撕逼了。,2014-07-17
66,皮皮敦敦,1,“去电影院看这片心惊胆战的，生怕被朋友撞见，会有种嫖娼被抓的感觉”,2014-07-20
67,亚瑟路,1,#717重逢之期#很久之后难得再和她去看一场电影。全场睡点。醒来她已离开。,2014-07-17
68,T.V.Zoe ி,3,嗯 真的比12好看點 姐妹情深→連環撕逼→姐妹情深 每一部都是這樣 但是唐宛如幫南湘擋架那段竟然可恥的鼻酸了 時間煮雨也變得動聽了 謊話說一千遍會成真 郭敬明一遍遍給你洗腦也就這麼代入了 天吶小時代大法有點厲害,2014-07-20
69,Liberty,5,你知道吗，我们的生活，就是这样的，一场又一场，永远无休止的闹剧。人真的是一种完全以自我为中心的动物。,2014-07-30
70,吵,3,撕逼大戏，看到最后大家都哭了,2014-07-17
71,グ セイ,4,阿哈哈哈,2014-07-19
72,lethal dude！,1,感觉有一种误导的倾向，演员们也在各种秀下线。。。。,2014-07-17
73,miseria❀,1,这种片子电影院上映会教坏小朋友三观的！！,2014-07-17
74,办公室甜心,1,为什么电影磨皮处理都这么严重了，前面的少女们还要开着美颜相机拍荧幕？,2014-07-19
75,Toma,4,渐渐觉得小时代的纸醉金迷反而显出一种纯粹的真诚，那是物欲肉欲赤裸裸堆砌而成的，真实得不容否认。尽管看了三部也还是不懂剧中人物关系推进的点在哪儿，一会儿是闹到不可开交的决裂，一会儿又是天下太平的和好，但好笑的地方还是蛮好笑的。起码郭敬明贩卖男色还是非常有诚意的。,2014-07-19
76,陶陶,1,不用看都知道,2014-07-15
77,ZWW,1,烂片烂片烂片烂片,2017-08-23
78,三和后浪える酱,1,2个多钟头一秒不落的槽点无从下口。咳咳。@郭敬明 狂操你妈矮逼 我好奇为什么有单身大龄男子一个人去看。,2014-07-17
79,少数派的报告,4,为啥小时代被批的这么惨，我真的觉得蛮好看的噶,2017-05-27
80,黄青蕉,1,三部之后从配乐ppt升级成MV了，可喜可贺,2015-12-13
81,竹不,1,上午没看前很开心地打了三星看过后才知道错了。本片演技浮夸，情节杂乱，三观不正，远胜前两部，已经彻底沦为一部连和闺蜜去吐槽嘲笑傻乐都不想看的影片。若有一天也能在我国荧幕上看见如sunny那样的闺蜜片就好了，唉。,2014-07-16
82,梁越,3,郭碧婷五分，电影一分，平均三分。,2014-07-20
83,哪吒男,2,请拍摄一部《宛如传》，谢谢！,2014-07-21
84,华盛顿樱桃树,1,真的是没有电影的元素，说没有故事很冤枉，但动不动的公司收购也真的想吓唬谁啊？往好了说就是MV加PPT。展示了N首歌曲，但不是每首都好听。每一个故事细节都经不起推敲，姐妹们撕得快好得更快。而剧中男演员每人一件斗篷这件事真的好吗！那对男男真的拍得好纯洁。,2014-07-10
85,陀螺凡达可,1,还是看不懂...囧,2014-09-21
86,胤祥,1,真是出离愤怒忍无可忍了……,2014-09-20
87,微辣,1,电影屎上最萎大最绵长最扯烂的一泡屎,2014-07-16
